Vancouver,Max of Vancouver,,Vancouver
80,280.16,,80
70,280.78,,70
80,281.31,,80
80,281.6,,80
70,281.59,,70
80,281.31,,80
70,281.69,,70
70,281.81,,70
70,281.71,,70
90,280.8,,90
10,280.7,,10
270,279.71,,270
340,279.52,,340
10,279.77,,10
20,279.42,,20
10,279.06,,10
70,278.93,,70
0,278.91,,0
50,278.71,,50
30,278.59,,30
0,278.18,,0
40,278.06,,40
30,277.81,,30
0,277.66,,0
0,277.28,,0
300,277.62,,300
0,278.18,,0
40,279,,40
40,278.63,,40
30,278.88,,30
157,278.82,,157
20,279,,20
0,279.56,,0
10,278.44,,10
30,278.22,,30
30,277.78,,30
40,277.53,,40
30,277.18,,30
20,277.15,,20
30,277.3,,30
40,277.41,,40
20,277.43,,20
30,277.17,,30
40,277.15,,40
70,277.51,,70
80,277.8,,80
110,277.88,,110
60,277.66,,60
50,277.83,,50
70,278.38,,70
70,278.87,,70
80,279.59,,80
20,279.65,,20
70,279.74,,70
90,279.54,,90
80,279.65,,80
79,280.71,,79
79,280.71,,79
79,280.71,,79
79,280.71,,79
79,280.71,,79
79,280.71,,79
79,280.71,,79
85,279.89,,85
85,279.89,,85
85,279.89,,85
85,279.89,,85
85,279.89,,85
60,279.7,,60
60,279.83,,60
70,279.77,,70
70,279.56,,70
80,279.66,,80
70,279.69,,70
100,279.79,,100
45,280.01,,45
110,280.49,,110
120,280.88,,120
80,280.98,,80
90,280.84,,90
50,280.79,,50
40,280.59,,40
30,280.27,,30
96,280.18,,96
162,280.09,,162
228,280,,228
294,279.91,,294
360,279.82,,360
30,279.58,,30
10,279.36,,10
20,279.36,,20
10,279.19,,10
20,278.53,,20
60,278.38,,60
30,278.33,,30
0,278.1,,0
320,277.84,,320
40,278.79,,40
0,279.37,,0
0,280.63,,0
180,280.35,,180
310,281.98,,310
0,280.56,,0
0,280.58,,0
0,278.88,,0
10,277.89,,10
10,277.65,,10
360,277.33,,360
360,277.68,,360
20,277.4,,20
360,277.69,,360
10,277.23,,10
10,277.08,,10
0,277.25,,0
0,277.46,,0
50,277.88,,50
0,277.81,,0
0,277.87,,0
0,277.74,,0
40,277.26,,40
10,276.95,,10
0,277.49,,0
0,277.88,,0
260,279.06,,260
235,279.52,,235
210,279.98,,210
0,279.37,,0
0,279.37,,0
0,277.94,,0
320,277.33,,320
10,277.01,,10
20,276.67,,20
20,276.38,,20
20,275.87,,20
30,275.51,,30
10,275.1,,10
360,274.88,,360
0,274.56,,0
10,274.25,,10
20,273.96,,20
360,273.92,,360
10,274.05,,10
20,274.05,,20
0,273.64,,0
0,273.71,,0
0,274.43,,0
150,275.41,,150
220,276.85,,220
320,277.63,,320
280,278,,280
0,278.3,,0
0,278.42,,0
0,277.22,,0
360,276.57,,360
360,276.37,,360
10,276.28,,10
0,276,,0
0,276.03,,0
0,275.84,,0
0,275.55,,0
0,275.03,,0
0,275.2,,0
0,275.26,,0
0,274.82,,0
0,275.02,,0
0,274.82,,0
0,274.94,,0
0,275.62,,0
0,275.74,,0
0,276.56,,0
0,277.77,,0
0,278.39,,0
0,279.3,,0
0,279.38,,0
0,279.22,,0
0,279.3,,0
0,278.4,,0
0,277.71,,0
30,277.13,,30
0,277.03,,0
0,277.11,,0
0,276.84,,0
0,277.2,,0
0,277.45,,0
0,277.57,,0
0,277.2,,0
0,277.28,,0
0,277.26,,0
0,277.38,,0
280,276.98,,280
0,277.1,,0
0,276.59,,0
0,276.93,,0
0,277.39,,0
0,278.63,,0
10,279.11,,10
280,279.44,,280
340,279.49,,340
0,279.27,,0
60,279.31,,60
110,279.31,,110
0,279.4,,0
60,280.08,,60
90,279.86,,90
211,280.61,,211
332,281.36,,332
332,281.36,,332
111,282.95,,111
111,282.95,,111
111,282.95,,111
111,282.95,,111
111,282.95,,111
111,282.95,,111
86,282.63,,86
86,282.63,,86
86,282.63,,86
86,282.63,,86
86,282.63,,86
83,282.875,,83
80,283.12,,80
90,283.07,,90
80,283.07,,80
70,283.45,,70
80,283.42,,80
80,283.15,,80
110,282.9,,110
70,283,,70
70,282.74,,70
80,282.68,,80
70,282.95,,70
70,282.76,,70
70,282.45,,70
70,282.76,,70
70,282.89,,70
70,282.88,,70
70,282.24,,70
90,282.43,,90
80,281.78,,80
60,281.55,,60
60,281.6,,60
70,281.66,,70
70,281.44,,70
70,281.51,,70
70,281.7,,70
80,282.21,,80
70,282.48,,70
80,282.43,,80
80,282.96,,80
70,282.53,,70
120,282.44,,120
70,282.03,,70
110,282.27,,110
80,282.24,,80
80,281.81,,80
80,281.77,,80
70,281.65,,70
70,281.65,,70
70,281.19,,70
70,281.36,,70
70,281.29,,70
60,281.65,,60
70,281.54,,70
150,281.26,,150
154,282.11,,154
159,282.96,,159
159,282.96,,159
149,281.3,,149
90,281.41,,90
70,281.57,,70
90,281.58,,90
150,281.42,,150
70,281.22,,70
60,281.6,,60
60,281.5,,60
80,281.01,,80
70,280.72,,70
80,280.95,,80
70,280.94,,70
70,280.82,,70
70,280.99,,70
70,280.62,,70
70,280.33,,70
70,280.07,,70
70,279.94,,70
80,279.82,,80
70,279.75,,70
60,279.87,,60
80,279.98,,80
350,279.31,,350
0,280.77,,0
100,280.62,,100
80,280.22,,80
0,279.7,,0
30,280.53,,30
70,281.23,,70
60,281.28,,60
30,280.99,,30
80,280.99,,80
80,281,,80
110,280.74,,110
70,280.68,,70
70,280.79,,70
40,281.13,,40
0,280.74,,0
50,280.28,,50
30,280.52,,30
